eid,frame,slice_idx
4628039,sa_ED,6
5873996,sa_ED,4
1096882,sa_ES,7
4628039,sa_ES,7
2291288,sa_ES,7
2009251,sa_ED,2
4506956,sa_ED,9
2276349,sa_ES,3
5394334,sa_ES,1
2263087,sa_ES,6
2320205,sa_ED,9
5959799,sa_ES,1
2020003,sa_ES,7
1143832,sa_ED,4
3027351,sa_ES,0
5370810,sa_ES,6
2778231,sa_ED,6
3993596,sa_ED,10
5289722,sa_ED,2
2020003,sa_ED,3
4757111,sa_ED,6
2332761,sa_ED,5
2302981,sa_ED,1
5387939,sa_ES,1
3003189,sa_ES,8
3960181,sa_ES,2
3667107,sa_ES,7
2176254,sa_ED,3
2640851,sa_ES,9
5879093,sa_ED,7
1975181,sa_ED,1
3721102,sa_ED,3
5177162,sa_ES,6
5015987,sa_ED,3
3965118,sa_ES,1
2669574,sa_ES,9
2875339,sa_ES,8
3947981,sa_ES,10
5132806,sa_ES,5
1360129,sa_ED,3
1012959,sa_ED,10
3414845,sa_ED,9
2022851,sa_ED,12
5669329,sa_ES,2
4621339,sa_ED,7
3437760,sa_ES,7
5912574,sa_ES,7
4987645,sa_ES,2
3800260,sa_ED,10
5078274,sa_ES,8
2566569,sa_ES,1
2910936,sa_ES,1
2956377,sa_ED,4
1489774,sa_ES,3
2971258,sa_ED,6
3437760,sa_ES,2
2877862,sa_ED,7
1794604,sa_ED,2
1279229,sa_ES,3
2320205,sa_ES,2
2755683,sa_ED,2
3156804,sa_ES,4
4331519,sa_ES,10
6015621,sa_ED,7
4419199,sa_ES,8
5987079,sa_ED,5
1599499,sa_ES,4
2592505,sa_ED,8
1023276,sa_ES,7
5129048,sa_ED,4
3497734,sa_ES,4
1909925,sa_ED,12
3156804,sa_ED,1
3778156,sa_ED,8
1436981,sa_ES,8
5782260,sa_ED,7
3664246,sa_ES,11
2064147,sa_ES,7
3392003,sa_ES,7
3189578,sa_ES,6
2062305,sa_ED,6
3244659,sa_ES,3
2450567,sa_ES,4
3691505,sa_ES,7
3960181,sa_ED,1
5659036,sa_ED,7
3528521,sa_ED,3
1747021,sa_ES,1
2250624,sa_ES,2
4638387,sa_ES,10
2276349,sa_ED,10
3664246,sa_ES,4
3392003,sa_ES,6
5068643,sa_ES,2
4056067,sa_ES,2
3800817,sa_ES,9
1338398,sa_ES,3
2273653,sa_ES,2
2364653,sa_ED,9
5095787,sa_ED,9
3253275,sa_ES,1
2772015,sa_ED,10
1279229,sa_ED,0
2902891,sa_ES,0
2276349,sa_ED,0
5716266,sa_ES,5
5659036,sa_ES,10
2328878,sa_ES,6
3242435,sa_ED,5
3993596,sa_ED,7
2765774,sa_ES,0
4587794,sa_ED,9
1400702,sa_ES,5
1143832,sa_ED,2
2394598,sa_ES,0
5849958,sa_ED,1
2320205,sa_ED,7
5040502,sa_ED,6
3253275,sa_ED,7
4879895,sa_ES,4
3092967,sa_ES,1
3071982,sa_ES,10
5869643,sa_ES,2
3497734,sa_ED,4
4062465,sa_ED,2
5511092,sa_ES,2
1498448,sa_ES,5
2057020,sa_ES,9
4174996,sa_ES,1
2394598,sa_ED,1
4331519,sa_ED,0
3396745,sa_ED,1
1292669,sa_ES,3
5132806,sa_ED,4
3782469,sa_ES,8
1790791,sa_ED,0
2664516,sa_ED,7
5625787,sa_ED,3
6020534,sa_ES,8
4989846,sa_ES,6
2877862,sa_ES,0
3766162,sa_ES,9
3667107,sa_ES,9
4621339,sa_ED,6
2592505,sa_ES,4
3003189,sa_ED,3
3691505,sa_ES,1
4171522,sa_ED,11
2137650,sa_ED,9
2856993,sa_ES,2
2753849,sa_ED,0
1143832,sa_ED,6
5659036,sa_ES,8
3528521,sa_ED,5
1498448,sa_ED,0
3497734,sa_ED,7
5027460,sa_ES,7
1520548,sa_ED,7
3451126,sa_ED,3
3392003,sa_ED,3
3437760,sa_ED,1
4989846,sa_ED,8
5981751,sa_ES,11
5132806,sa_ES,4
2398087,sa_ED,5
2755683,sa_ES,3
2755683,sa_ES,9
1096882,sa_ES,10
3215156,sa_ES,8
2137650,sa_ED,5
2640851,sa_ED,10
2711871,sa_ES,7
2711871,sa_ES,3
5981751,sa_ES,1
5303399,sa_ED,1
1763342,sa_ED,7
2852138,sa_ES,9
4056067,sa_ED,6
3993596,sa_ES,10
3947981,sa_ES,7
5027460,sa_ES,5
2640851,sa_ES,1
5303399,sa_ES,6
4506956,sa_ES,1
5766671,sa_ES,3
4928041,sa_ED,3
2302981,sa_ES,6
4987645,sa_ED,5
2755683,sa_ES,4
6015621,sa_ES,8
5046739,sa_ED,8
1964687,sa_ES,1
2394598,sa_ED,7
2171372,sa_ED,5
1074659,sa_ES,10
2263087,sa_ES,7
2057020,sa_ES,1
4906370,sa_ES,5
3654194,sa_ED,0
5782260,sa_ED,9
1564544,sa_ED,5
5235814,sa_ES,6
3149209,sa_ES,4
5129048,sa_ES,5
5849958,sa_ES,4
5625787,sa_ES,0
2669574,sa_ED,5
2971258,sa_ED,5
3215156,sa_ES,10
3396745,sa_ES,1
1519384,sa_ED,0
4169308,sa_ES,4
1834316,sa_ES,5
2743556,sa_ED,6
2971258,sa_ES,1
5068643,sa_ED,4
2332761,sa_ED,0
5046739,sa_ES,4
5079614,sa_ED,8
5511092,sa_ES,8
2711871,sa_ES,4
5015077,sa_ED,4
3993596,sa_ES,2
5979345,sa_ES,11
4174996,sa_ES,5
5659036,sa_ED,11
4761765,sa_ES,5
5625787,sa_ED,1
2875339,sa_ED,0
3149209,sa_ED,2
2971258,sa_ES,8
1827702,sa_ED,4
4157007,sa_ED,8
2778231,sa_ED,2
1909925,sa_ES,2
1012959,sa_ES,1
1382661,sa_ED,6
4536046,sa_ES,0
2450229,sa_ED,7
3691505,sa_ED,5
3300658,sa_ES,2
2328878,sa_ES,8
1293987,sa_ED,6
5394334,sa_ED,5
5601388,sa_ES,1
4824728,sa_ED,8
4169308,sa_ES,2
5849958,sa_ED,7
5370810,sa_ED,9
1519384,sa_ES,9
2620652,sa_ED,10
5132806,sa_ED,5
5659036,sa_ED,2
3027351,sa_ES,9
5744374,sa_ED,5
5387939,sa_ED,7
4179548,sa_ES,7
4743348,sa_ED,6
2057020,sa_ES,8
4008225,sa_ES,7
5095787,sa_ES,0
5744374,sa_ES,4
3667425,sa_ES,5
5129048,sa_ED,7
1605863,sa_ED,1
1834316,sa_ES,7
5078274,sa_ED,7
5892714,sa_ES,8
2566569,sa_ES,6
2902891,sa_ES,7
4506956,sa_ES,10
5078274,sa_ES,7
4761765,sa_ES,7
3965118,sa_ED,10
5659036,sa_ES,2
5849958,sa_ED,6
2320205,sa_ES,10
4504094,sa_ED,6
2462415,sa_ES,2
5015987,sa_ED,9
3497734,sa_ES,7
1433505,sa_ES,11
4928041,sa_ES,4
2956377,sa_ES,7
4824728,sa_ES,10
2263087,sa_ED,7
5981751,sa_ES,9
2020003,sa_ED,7
3330682,sa_ED,1
2875339,sa_ES,4
3711158,sa_ES,4
2064147,sa_ED,0
3947981,sa_ED,9
3654194,sa_ES,5
3993596,sa_ES,7
1757100,sa_ES,1
3766162,sa_ES,10
1519384,sa_ED,3
3244659,sa_ED,6
4184010,sa_ES,9
2782270,sa_ES,7
1023276,sa_ES,5
1652211,sa_ED,7
4824728,sa_ED,10
3686892,sa_ED,4
2592505,sa_ES,7
2753849,sa_ED,8
3291180,sa_ED,8
4504249,sa_ES,9
4651174,sa_ES,3
3027351,sa_ES,4
2877862,sa_ES,3
4863899,sa_ES,2
3780775,sa_ES,2
1096882,sa_ED,8
5313489,sa_ED,1
5177162,sa_ES,2
4510420,sa_ED,9
2753849,sa_ED,4
1955482,sa_ED,11
1433505,sa_ED,3
2184433,sa_ED,1
1498448,sa_ED,1
3928894,sa_ES,5
2328878,sa_ED,2
4772489,sa_ES,7
2234834,sa_ES,4
5078274,sa_ED,0
5015987,sa_ES,9
5879093,sa_ED,2
1757100,sa_ED,6
3667425,sa_ED,8
1433505,sa_ED,4
1074659,sa_ES,3
5981751,sa_ES,7
1074659,sa_ES,9
2286468,sa_ED,6
4906370,sa_ED,5
3003189,sa_ES,3
5313489,sa_ED,2
5079614,sa_ED,9
2640851,sa_ED,8
5946387,sa_ED,7
2062305,sa_ES,8
1827702,sa_ES,6
1433505,sa_ED,1
2875339,sa_ES,1
4587794,sa_ES,5
1909925,sa_ES,11
4798712,sa_ES,6
3965118,sa_ED,3
5289722,sa_ED,5
4184010,sa_ED,10
2450567,sa_ED,0
4559099,sa_ED,9
5905016,sa_ED,5
2020003,sa_ED,5
3780775,sa_ES,0
1599499,sa_ES,0
5313489,sa_ES,10
4824728,sa_ED,9
4097330,sa_ES,5
5129048,sa_ES,1
4928041,sa_ED,11
2711871,sa_ES,6
3878846,sa_ED,8
1955482,sa_ES,0
2364653,sa_ES,8
4559099,sa_ES,0
4506956,sa_ED,7
5601388,sa_ES,5
5177162,sa_ES,1
2664516,sa_ES,6
5015987,sa_ES,10
2566569,sa_ED,5
4419199,sa_ES,2
2956377,sa_ED,9
1827702,sa_ES,9
1074659,sa_ED,3
5040502,sa_ED,9
4245720,sa_ED,8
4074135,sa_ES,0
5873996,sa_ES,6
4330117,sa_ED,6
5869643,sa_ES,0
2286468,sa_ES,2
4536046,sa_ES,9
2569530,sa_ES,2
2328878,sa_ES,7
5582747,sa_ES,0
4074135,sa_ED,7
3689479,sa_ES,7
3149209,sa_ES,7
5879093,sa_ES,1
3272822,sa_ES,2
4863899,sa_ED,9
4157007,sa_ED,5
6015621,sa_ES,9
4743348,sa_ED,7
2772015,sa_ES,7
1599499,sa_ED,12
2302981,sa_ES,0
5669329,sa_ES,1
5286764,sa_ED,1
5470762,sa_ED,0
1293987,sa_ES,6
5694891,sa_ED,0
3497734,sa_ES,0
1212974,sa_ES,5
3242435,sa_ES,9
4157007,sa_ES,8
4631691,sa_ED,5
4638387,sa_ES,3
5390351,sa_ES,6
2566569,sa_ED,9
2640851,sa_ED,0
2669574,sa_ES,1
1909925,sa_ED,6
5015077,sa_ED,7
3965118,sa_ES,9
1564544,sa_ES,4
4906370,sa_ES,9
2640851,sa_ED,7
2364653,sa_ES,2
4245720,sa_ES,8
1790791,sa_ED,1
4798712,sa_ES,1
1400702,sa_ED,9
5744374,sa_ED,9
5628564,sa_ES,2
1605863,sa_ED,2
4008225,sa_ED,9
4651174,sa_ES,5
2288232,sa_ES,2
3154714,sa_ED,3
2057020,sa_ES,10
4304870,sa_ED,3
2320205,sa_ED,2
4245720,sa_ED,9
4761765,sa_ED,4
5716266,sa_ED,6
5289722,sa_ED,8
4184010,sa_ED,2
2856993,sa_ES,10
1909925,sa_ED,1
3667107,sa_ED,0
3244659,sa_ED,8
3778156,sa_ED,0
5015205,sa_ES,1
4174996,sa_ES,8
3878846,sa_ES,1
3092967,sa_ED,0
3965118,sa_ES,5
3451126,sa_ED,4
5628564,sa_ED,2
5716266,sa_ES,1
1909925,sa_ED,5
4171522,sa_ED,2
1008168,sa_ED,5
1313333,sa_ED,5
2137650,sa_ES,2
4074135,sa_ED,4
2020003,sa_ES,3
3708364,sa_ED,4
2276349,sa_ES,9
5659036,sa_ED,1
4203699,sa_ES,10
2664516,sa_ED,0
5235814,sa_ES,1
5286764,sa_ED,2
1878592,sa_ED,6
4171265,sa_ES,0
3528521,sa_ES,6
4906370,sa_ES,7
3664246,sa_ED,9
3711158,sa_ED,4
2910936,sa_ED,8
3711158,sa_ED,10
3800817,sa_ED,11
4863899,sa_ES,1
1279229,sa_ES,4
3721102,sa_ES,1
4179548,sa_ED,4
3843979,sa_ES,7
2778231,sa_ED,5
3800260,sa_ES,10
3878846,sa_ED,9
3451126,sa_ES,3
2328878,sa_ED,4
1605863,sa_ES,9
3928894,sa_ED,0
1008168,sa_ES,8
2069967,sa_ED,5
2234834,sa_ES,6
5027460,sa_ES,4
5015205,sa_ED,7
4631691,sa_ED,2
5601388,sa_ED,6
4245720,sa_ES,3
2137650,sa_ES,6
2669574,sa_ES,5
2765774,sa_ES,6
2640851,sa_ED,1
5669329,sa_ED,1
3654194,sa_ED,7
3708364,sa_ED,1
3947981,sa_ES,9
2064147,sa_ES,8
4062465,sa_ES,5
2956377,sa_ED,11
2782270,sa_ES,8
1519384,sa_ED,12
1074146,sa_ES,3
4798712,sa_ED,11
5390351,sa_ED,3
3396745,sa_ED,7
2772015,sa_ES,0
3800260,sa_ES,4
2171372,sa_ED,10
2069967,sa_ED,4
3968920,sa_ED,7
1605863,sa_ED,4
2332761,sa_ES,4
5303399,sa_ES,8
4097330,sa_ES,4
4761765,sa_ED,0
1519384,sa_ES,11
5738386,sa_ED,6
2325464,sa_ES,8
2288232,sa_ED,2
5905016,sa_ED,7
3691505,sa_ES,2
2971258,sa_ES,7
3242435,sa_ED,2
4874636,sa_ED,0
2064147,sa_ED,6
1909925,sa_ES,3
2971258,sa_ES,3
5873996,sa_ED,11
4874636,sa_ES,1
3392003,sa_ED,7
5068643,sa_ED,0
3027351,sa_ED,2
4159518,sa_ED,2
2755683,sa_ES,0
1074659,sa_ES,6
2743556,sa_ES,5
2569530,sa_ES,3
2176254,sa_ED,6
4587794,sa_ES,3
2856993,sa_ES,6
2856993,sa_ES,9
3451126,sa_ES,0
2394598,sa_ES,1
4169308,sa_ED,9
5549597,sa_ES,1
1657146,sa_ED,1
2753849,sa_ED,9
4245720,sa_ES,1
1763342,sa_ED,5
4757111,sa_ED,0
2328878,sa_ED,12
4834256,sa_ES,3
1279229,sa_ED,8
4171522,sa_ES,1
1827702,sa_ED,10
4187284,sa_ES,7
1794604,sa_ES,3
2592505,sa_ED,2
