eid,frame,slice_idx
2809624,sa_ED,0
2809624,sa_ED,1
2809624,sa_ED,2
2809624,sa_ED,4
2809624,sa_ED,5
2809624,sa_ED,6
2809624,sa_ED,7
2809624,sa_ED,8
2809624,sa_ED,9
2809624,sa_ED,10
2809624,sa_ED,11
2809624,sa_ES,0
2809624,sa_ES,1
2809624,sa_ES,2
2809624,sa_ES,3
2809624,sa_ES,4
2809624,sa_ES,5
2809624,sa_ES,6
2809624,sa_ES,8
2809624,sa_ES,9
2809624,sa_ES,10
2809624,sa_ES,11
1625111,sa_ED,0
1625111,sa_ED,1
1625111,sa_ED,2
1625111,sa_ED,3
1625111,sa_ED,4
1625111,sa_ED,5
1625111,sa_ED,6
1625111,sa_ED,7
1625111,sa_ED,8
1625111,sa_ED,9
1625111,sa_ED,10
1625111,sa_ED,11
1625111,sa_ED,12
1625111,sa_ES,0
1625111,sa_ES,1
1625111,sa_ES,2
1625111,sa_ES,3
1625111,sa_ES,4
1625111,sa_ES,5
1625111,sa_ES,6
1625111,sa_ES,7
1625111,sa_ES,8
1625111,sa_ES,9
1625111,sa_ES,11
1625111,sa_ES,12
4440895,sa_ED,1
4440895,sa_ED,2
4440895,sa_ED,3
4440895,sa_ED,5
4440895,sa_ED,6
4440895,sa_ED,8
4440895,sa_ED,10
4440895,sa_ES,0
4440895,sa_ES,1
4440895,sa_ES,2
4440895,sa_ES,3
4440895,sa_ES,4
4440895,sa_ES,5
4440895,sa_ES,6
4440895,sa_ES,7
4440895,sa_ES,8
4440895,sa_ES,9
4440895,sa_ES,10
2290558,sa_ED,0
2290558,sa_ED,1
2290558,sa_ED,2
2290558,sa_ED,3
2290558,sa_ED,4
2290558,sa_ED,5
2290558,sa_ED,6
2290558,sa_ED,7
2290558,sa_ED,8
2290558,sa_ED,9
2290558,sa_ED,10
2290558,sa_ES,0
2290558,sa_ES,1
2290558,sa_ES,2
2290558,sa_ES,3
2290558,sa_ES,4
2290558,sa_ES,6
2290558,sa_ES,7
2290558,sa_ES,8
2290558,sa_ES,9
2290558,sa_ES,10
1023276,sa_ED,1
1023276,sa_ED,2
1023276,sa_ED,3
1023276,sa_ED,4
1023276,sa_ED,6
1023276,sa_ED,9
1023276,sa_ED,10
1023276,sa_ES,0
1023276,sa_ES,1
1023276,sa_ES,2
1023276,sa_ES,3
1023276,sa_ES,4
1023276,sa_ES,5
1023276,sa_ES,6
1023276,sa_ES,7
1023276,sa_ES,9
1023276,sa_ES,10
1178433,sa_ED,0
1178433,sa_ED,1
1178433,sa_ED,2
1178433,sa_ED,3
1178433,sa_ED,4
1178433,sa_ED,5
1178433,sa_ED,6
1178433,sa_ED,8
1178433,sa_ED,9
1178433,sa_ED,10
1178433,sa_ES,0
1178433,sa_ES,1
1178433,sa_ES,2
1178433,sa_ES,4
1178433,sa_ES,5
1178433,sa_ES,6
1178433,sa_ES,7
1178433,sa_ES,8
1178433,sa_ES,9
3909524,sa_ED,0
3909524,sa_ED,1
3909524,sa_ED,2
3909524,sa_ED,3
3909524,sa_ED,4
3909524,sa_ED,5
3909524,sa_ED,6
3909524,sa_ED,7
3909524,sa_ED,8
3909524,sa_ED,9
3909524,sa_ED,10
3909524,sa_ES,1
3909524,sa_ES,2
3909524,sa_ES,3
3909524,sa_ES,4
3909524,sa_ES,5
3909524,sa_ES,6
3909524,sa_ES,7
3909524,sa_ES,8
3909524,sa_ES,9
3909524,sa_ES,10
3234872,sa_ED,0
3234872,sa_ED,1
3234872,sa_ED,2
3234872,sa_ED,3
3234872,sa_ED,4
3234872,sa_ED,5
3234872,sa_ED,6
3234872,sa_ED,7
3234872,sa_ED,8
3234872,sa_ED,10
3234872,sa_ED,11
3234872,sa_ED,12
3234872,sa_ES,0
3234872,sa_ES,1
3234872,sa_ES,2
3234872,sa_ES,3
3234872,sa_ES,4
3234872,sa_ES,5
3234872,sa_ES,6
