eid,frame,slice_idx
5501296,sa_ED,0
5501296,sa_ED,1
5501296,sa_ED,2
5501296,sa_ED,4
5501296,sa_ED,5
5501296,sa_ED,6
5501296,sa_ED,7
5501296,sa_ED,8
5501296,sa_ED,9
5501296,sa_ED,10
5501296,sa_ED,11
5501296,sa_ES,0
5501296,sa_ES,1
5501296,sa_ES,2
5501296,sa_ES,3
5501296,sa_ES,4
5501296,sa_ES,5
5501296,sa_ES,6
5501296,sa_ES,8
5501296,sa_ES,9
5501296,sa_ES,10
5501296,sa_ES,11
2492989,sa_ED,0
2492989,sa_ED,1
2492989,sa_ED,2
2492989,sa_ED,3
2492989,sa_ED,4
2492989,sa_ED,5
2492989,sa_ED,6
2492989,sa_ED,7
2492989,sa_ED,8
2492989,sa_ED,9
2492989,sa_ED,10
2492989,sa_ES,0
2492989,sa_ES,1
2492989,sa_ES,2
2492989,sa_ES,3
2492989,sa_ES,4
2492989,sa_ES,5
2492989,sa_ES,6
2492989,sa_ES,7
2492989,sa_ES,8
2492989,sa_ES,9
2492989,sa_ES,10
1789080,sa_ED,0
1789080,sa_ED,2
1789080,sa_ED,3
1789080,sa_ED,5
1789080,sa_ED,6
1789080,sa_ED,7
1789080,sa_ED,9
1789080,sa_ED,10
1789080,sa_ES,1
1789080,sa_ES,3
1789080,sa_ES,4
1789080,sa_ES,5
1789080,sa_ES,6
1789080,sa_ES,7
1789080,sa_ES,8
1789080,sa_ES,9
1789080,sa_ES,10
3206712,sa_ED,0
3206712,sa_ED,1
3206712,sa_ED,2
3206712,sa_ED,3
3206712,sa_ED,4
3206712,sa_ED,5
3206712,sa_ED,6
3206712,sa_ED,7
3206712,sa_ED,8
3206712,sa_ED,9
3206712,sa_ED,10
3206712,sa_ES,0
3206712,sa_ES,1
3206712,sa_ES,2
3206712,sa_ES,3
3206712,sa_ES,4
3206712,sa_ES,5
3206712,sa_ES,6
3206712,sa_ES,7
3206712,sa_ES,8
3206712,sa_ES,10
5290512,sa_ED,0
5290512,sa_ED,1
5290512,sa_ED,2
5290512,sa_ED,3
5290512,sa_ED,5
5290512,sa_ED,6
5290512,sa_ED,7
