eid,frame,slice_idx
3708364,sa_ES,11
2263087,sa_ES,8
1498448,sa_ED,5
5511092,sa_ED,2
2875339,sa_ES,7
5027460,sa_ED,9
4882408,sa_ED,4
2868581,sa_ED,4
4141619,sa_ED,0
1748431,sa_ED,2
3606675,sa_ES,7
2527668,sa_ED,10
5238442,sa_ES,0
3569115,sa_ED,5
3330682,sa_ES,5
4187284,sa_ES,2
2633710,sa_ES,9
2015957,sa_ES,5
2755674,sa_ES,10
2325464,sa_ES,5
5027460,sa_ED,8
4833894,sa_ES,8
5881453,sa_ED,0
1433505,sa_ED,9
3606675,sa_ED,8
1890363,sa_ED,6
1255976,sa_ES,2
1834316,sa_ES,9
5388332,sa_ES,7
5511092,sa_ED,3
5547324,sa_ES,0
1279229,sa_ES,2
1949376,sa_ED,14
1498448,sa_ED,6
3071982,sa_ED,4
1890363,sa_ES,8
1966486,sa_ES,2
2263087,sa_ES,6
3242435,sa_ES,2
5716612,sa_ES,6
2069967,sa_ED,1
2233436,sa_ES,4
5440471,sa_ED,9
5448850,sa_ES,0
1433505,sa_ES,5
4506956,sa_ES,10
3215156,sa_ED,3
1748431,sa_ED,0
2022851,sa_ED,1
5071460,sa_ES,10
5738386,sa_ED,5
5187890,sa_ES,0
2325464,sa_ED,7
1058150,sa_ES,8
2250624,sa_ED,5
6015621,sa_ES,9
2527668,sa_ES,7
3437760,sa_ED,7
3178357,sa_ED,5
1748431,sa_ES,1
4963307,sa_ES,7
5015205,sa_ED,5
1974381,sa_ES,9
3437760,sa_ED,5
5892714,sa_ED,6
2233436,sa_ES,8
1471744,sa_ED,1
5078274,sa_ED,2
3437760,sa_ED,4
4052760,sa_ES,7
2450229,sa_ES,8
1143832,sa_ED,0
1292669,sa_ES,3
1640873,sa_ED,3
2450567,sa_ED,2
4761765,sa_ES,0
2527668,sa_ED,4
4638387,sa_ES,1
4074135,sa_ES,6
4587794,sa_ES,5
4793359,sa_ED,7
5953939,sa_ED,0
5635564,sa_ES,2
5177162,sa_ED,8
3154714,sa_ES,3
2753849,sa_ES,3
5892714,sa_ES,3
1498448,sa_ES,0
2782792,sa_ED,1
2856993,sa_ES,7
4834256,sa_ES,2
5092979,sa_ED,0
3242435,sa_ES,7
5370810,sa_ES,8
6015621,sa_ED,11
2755674,sa_ED,7
1102841,sa_ED,10
2755683,sa_ED,9
4187284,sa_ES,5
